library	left	right	cell.id	well1	well2
1	L23	R29	L23+AC0-R29	J	16
1	L23	R13	L23+AC0-R13	J	17
1	L23	R30	L23+AC0-R30	J	18
1	L23	R14	L23+AC0-R14	J	19
1	L23	R38	L23+AC0-R38	J	20
1	L23	R17	L23+AC0-R17	J	21
1	L23	R32	L23+AC0-R32	J	22
1	L23	R18	L23+AC0-R18	J	23
1	L23	R34	L23+AC0-R34	J	24
1	L09	R35	L09+AC0-R35	K	1
1	L09	R19	L09+AC0-R19	K	2
1	L09	R03	L09+AC0-R03	K	3
1	L09	R21	L09+AC0-R21	K	4
1	L09	R05	L09+AC0-R05	K	5
1	L09	R22	L09+AC0-R22	K	6
1	L09	R07	L09+AC0-R07	K	7
1	L09	R23	L09+AC0-R23	K	8
1	L09	R36	L09+AC0-R36	K	9
1	L09	R26	L09+AC0-R26	K	10
1	L09	R37	L09+AC0-R37	K	11
1	L09	R27	L09+AC0-R27	K	12
1	L09	R10	L09+AC0-R10	K	13
1	L09	R28	L09+AC0-R28	K	14
1	L09	R11	L09+AC0-R11	K	15
1	L09	R29	L09+AC0-R29	K	16
1	L09	R13	L09+AC0-R13	K	17
1	L09	R30	L09+AC0-R30	K	18
1	L09	R14	L09+AC0-R14	K	19
1	L09	R38	L09+AC0-R38	K	20
1	L09	R17	L09+AC0-R17	K	21
1	L09	R32	L09+AC0-R32	K	22
1	L09	R18	L09+AC0-R18	K	23
1	L09	R34	L09+AC0-R34	K	24
1	L19	R35	L19+AC0-R35	L	1
1	L19	R19	L19+AC0-R19	L	2
1	L19	R03	L19+AC0-R03	L	3
1	L19	R21	L19+AC0-R21	L	4
1	L19	R05	L19+AC0-R05	L	5
1	L19	R22	L19+AC0-R22	L	6
1	L19	R07	L19+AC0-R07	L	7
1	L19	R23	L19+AC0-R23	L	8
1	L19	R36	L19+AC0-R36	L	9
1	L19	R26	L19+AC0-R26	L	10
1	L19	R37	L19+AC0-R37	L	11
1	L19	R27	L19+AC0-R27	L	12
1	L19	R10	L19+AC0-R10	L	13
1	L19	R28	L19+AC0-R28	L	14
1	L19	R11	L19+AC0-R11	L	15
1	L19	R29	L19+AC0-R29	L	16
1	L19	R13	L19+AC0-R13	L	17
1	L19	R30	L19+AC0-R30	L	18
1	L19	R14	L19+AC0-R14	L	19
1	L19	R38	L19+AC0-R38	L	20
1	L19	R17	L19+AC0-R17	L	21
1	L19	R32	L19+AC0-R32	L	22
1	L19	R18	L19+AC0-R18	L	23
1	L19	R34	L19+AC0-R34	L	24
1	L10	R35	L10+AC0-R35	M	1
1	L10	R19	L10+AC0-R19	M	2
1	L10	R03	L10+AC0-R03	M	3
1	L10	R21	L10+AC0-R21	M	4
1	L10	R05	L10+AC0-R05	M	5
1	L10	R22	L10+AC0-R22	M	6
1	L10	R07	L10+AC0-R07	M	7
1	L10	R23	L10+AC0-R23	M	8
1	L10	R36	L10+AC0-R36	M	9
1	L10	R26	L10+AC0-R26	M	10
1	L10	R37	L10+AC0-R37	M	11
1	L10	R27	L10+AC0-R27	M	12
1	L10	R10	L10+AC0-R10	M	13
1	L10	R28	L10+AC0-R28	M	14
1	L10	R11	L10+AC0-R11	M	15
1	L10	R29	L10+AC0-R29	M	16
1	L10	R13	L10+AC0-R13	M	17
1	L10	R30	L10+AC0-R30	M	18
1	L10	R14	L10+AC0-R14	M	19
1	L10	R38	L10+AC0-R38	M	20
1	L10	R17	L10+AC0-R17	M	21
1	L10	R32	L10+AC0-R32	M	22
1	L10	R18	L10+AC0-R18	M	23
1	L10	R34	L10+AC0-R34	M	24
1	L25	R35	L25+AC0-R35	N	1
1	L25	R19	L25+AC0-R19	N	2
1	L25	R03	L25+AC0-R03	N	3
1	L25	R21	L25+AC0-R21	N	4
1	L25	R05	L25+AC0-R05	N	5
1	L25	R22	L25+AC0-R22	N	6
1	L25	R07	L25+AC0-R07	N	7
1	L25	R23	L25+AC0-R23	N	8
1	L25	R36	L25+AC0-R36	N	9
1	L25	R26	L25+AC0-R26	N	10
1	L25	R37	L25+AC0-R37	N	11
1	L25	R27	L25+AC0-R27	N	12
1	L25	R10	L25+AC0-R10	N	13
1	L25	R28	L25+AC0-R28	N	14
1	L25	R11	L25+AC0-R11	N	15
1	L25	R29	L25+AC0-R29	N	16
1	L25	R13	L25+AC0-R13	N	17
1	L25	R30	L25+AC0-R30	N	18
1	L25	R14	L25+AC0-R14	N	19
1	L25	R38	L25+AC0-R38	N	20
1	L25	R17	L25+AC0-R17	N	21
1	L25	R32	L25+AC0-R32	N	22
1	L25	R18	L25+AC0-R18	N	23
1	L25	R34	L25+AC0-R34	N	24
1	L11	R35	L11+AC0-R35	O	1
1	L11	R19	L11+AC0-R19	O	2
1	L11	R03	L11+AC0-R03	O	3
1	L11	R21	L11+AC0-R21	O	4
1	L11	R05	L11+AC0-R05	O	5
1	L11	R22	L11+AC0-R22	O	6
1	L11	R07	L11+AC0-R07	O	7
1	L11	R23	L11+AC0-R23	O	8
1	L11	R36	L11+AC0-R36	O	9
1	L11	R26	L11+AC0-R26	O	10
1	L11	R37	L11+AC0-R37	O	11
1	L11	R27	L11+AC0-R27	O	12
1	L11	R10	L11+AC0-R10	O	13
1	L11	R28	L11+AC0-R28	O	14
1	L11	R11	L11+AC0-R11	O	15
1	L11	R29	L11+AC0-R29	O	16
1	L11	R13	L11+AC0-R13	O	17
1	L11	R30	L11+AC0-R30	O	18
1	L11	R14	L11+AC0-R14	O	19
1	L11	R38	L11+AC0-R38	O	20
1	L11	R17	L11+AC0-R17	O	21
1	L11	R32	L11+AC0-R32	O	22
1	L11	R18	L11+AC0-R18	O	23
1	L11	R34	L11+AC0-R34	O	24
1	L22	R35	L22+AC0-R35	P	1
1	L22	R19	L22+AC0-R19	P	2
1	L22	R03	L22+AC0-R03	P	3
1	L22	R21	L22+AC0-R21	P	4
1	L22	R05	L22+AC0-R05	P	5
1	L22	R22	L22+AC0-R22	P	6
1	L22	R07	L22+AC0-R07	P	7
1	L22	R23	L22+AC0-R23	P	8
1	L22	R36	L22+AC0-R36	P	9
1	L22	R26	L22+AC0-R26	P	10
1	L22	R37	L22+AC0-R37	P	11
1	L22	R27	L22+AC0-R27	P	12
1	L22	R10	L22+AC0-R10	P	13
1	L22	R28	L22+AC0-R28	P	14
1	L22	R11	L22+AC0-R11	P	15
1	L22	R29	L22+AC0-R29	P	16
1	L22	R13	L22+AC0-R13	P	17
1	L22	R30	L22+AC0-R30	P	18
1	L22	R14	L22+AC0-R14	P	19
1	L22	R38	L22+AC0-R38	P	20
1	L22	R17	L22+AC0-R17	P	21
1	L22	R32	L22+AC0-R32	P	22
1	L22	R18	L22+AC0-R18	P	23
1	L22	R34	L22+AC0-R34	P	24
